MONTHS_BALANCE,IPV,IPT,EPCT,IEMC,TC,IAC
-60,,99.56709956709958,15.0,0.4329004329004329,79.65367965367966,
-59,,98.36363636363636,15.166358595194085,1.6363636363636365,32.54545454545455,97.59036144578313
-58,,97.28813559322033,15.383275261324043,2.711864406779661,23.050847457627118,53.04878048780488
-57,,95.62657695542472,15.448548812664908,4.373423044575273,17.40958788898234,31.394422310756976
-56,,94.0793754066363,15.663900414937759,5.920624593363696,15.940143135979179,27.895694360218304
-55,,92.23911903513373,15.76748152359295,7.760880964866282,13.004719454640798,22.2380275011854
-54,,89.67684021543985,15.9009009009009,10.323159784560143,12.567324955116696,17.455391776570984
-53,0.11507479861910241,87.68699654775605,15.931758530183727,12.197928653624857,11.430763329497506,15.5217965653897
-52,0.09973404255319149,85.43882978723404,16.003891050583658,14.461436170212766,10.871010638297872,15.06575185820469
-51,0.11702750146284377,83.55763604447046,16.092436974789916,16.325336454066704,11.351667641895846,13.664596273291929
-50,0.13010668748373666,81.9672131147541,16.323809523809523,17.902680197762166,9.47176684881603,10.68852459016394
-49,0.09369875849144998,79.47997189037245,16.50309460654288,20.426329351136097,8.713984539704848,10.051342812006325
-48,0.21321961620469082,77.12153518123668,16.426596627038982,22.665245202558634,8.294243070362475,9.510138166158267
-47,0.23391812865497078,74.54191033138402,16.247384937238493,25.224171539961016,8.206627680311891,9.159429788628536
-46,0.21774632553075668,72.41879876610415,16.405662741167628,27.363454908365085,7.984031936127744,7.625337736415494
-45,0.23604788399932555,69.71842859551509,16.327690447400244,30.045523520485585,7.620974540549655,7.475592747559268
-44,0.1885902876001886,68.01823039446802,16.28927911275416,31.79317931793179,6.977840641206978,6.7869192836750525
-43,0.1921087631151175,66.45485444066794,16.387591727818545,33.353036796216934,7.3149105955371665,6.853809697411584
-42,0.23367697594501718,65.19587628865979,16.366223908918407,34.57044673539519,7.5189003436426125,6.812237006709876
-41,0.2308580223162755,63.52443247402847,16.380981223500907,36.24470950365525,6.977042452225215,6.4522998296422385
-40,0.2318769831584086,61.93556260678545,16.265024630541873,37.83256041005614,7.822797168659995,6.5313062612522454
-39,0.23747596969354293,60.86169851860228,16.142697881828315,38.90082551170417,6.751102567002149,6.835038963477613
-38,0.2893270467209601,59.17273896270896,16.195219123505975,40.53793399057008,6.9545649378482635,5.659548290710958
-37,0.25211778943122226,58.70310609116579,16.0513657447174,41.04477611940299,6.101250504235579,4.840721949596616
-36,0.25098947774881747,57.4765904044792,16.083305340947263,42.272420117771986,6.361617916787335,4.514081713605722
-35,0.21883833318136225,56.63353697456004,16.115762357108355,43.147624692258596,5.680678398832862,4.736602398664025
-34,0.23636522804867371,55.502057252910795,16.0788643533123,44.261577519040536,6.110478858443491,4.37019857950427
-33,0.21861599260068948,54.10745816867064,16.09090909090909,45.673925838728664,5.9362650298494914,4.110825637108539
-32,0.2025931928687196,52.94975688816855,16.124885215794308,46.84764991896272,5.9967585089141,3.975188421263254
-31,0.20949720670391062,51.93978895096214,16.120406334030474,47.85071384233395,5.121042830540038,3.78471999486818
-30,0.20239880059970014,50.7496251874063,16.156573116691284,49.047976011994,5.727136431784108,3.8321280672476643
-29,0.21666907410082334,50.30333670374115,15.960516870064609,49.47999422215803,5.380615340170446,3.625215786653957
-28,0.17605633802816903,48.70422535211267,16.075766338924232,51.11971830985915,6.070422535211267,3.5960477941176405
-27,0.19545730268922287,48.48015097391656,16.02599749756708,51.324391723394214,4.980791265080542,3.643118553842739
-26,0.19046368054643373,47.379482464205964,16.168561131133906,52.43005385524761,5.635097858925523,2.99609437697288
-25,0.1819094216534939,47.359177016685486,16.120529801324505,52.45891356166103,5.087191067620123,3.449171471611856
-24,0.2006079027355623,46.650455927051674,16.01250977326036,53.14893617021277,5.817629179331307,3.5249811699723743
-23,0.1748455530947663,46.52640167851731,15.984592258549418,53.29875276838793,5.08217740995454,3.2933986515981895
-22,0.1697216564833673,46.17560534057479,16.007106101445725,53.65467300294184,5.176510522742702,2.9676934635612273
-21,0.18714222809335096,45.35446939674153,16.099514563106798,54.45838837516512,5.11889035667107,2.727106895293696
-20,0.19716508579345626,45.044228924650966,15.897906068851295,54.758605989555576,4.779921133965683,2.827843380981987
-19,0.20300869293633858,44.41726094425069,16.051212938005392,55.37973036281297,4.939878194784239,2.6335103397659987
-18,0.1826391355080919,43.955151945614126,16.094182825484765,55.86220891887778,5.083455938308559,2.742607159382482
-17,0.1918158567774936,43.488097580169196,16.02804795295182,56.320086563053316,5.25772181782412,3.164790174002041
-16,0.21548628070679499,43.03979313317052,15.984646194926569,56.74472058612269,5.061533304601829,2.6549726168743515
-15,0.23478587528174302,42.496243425995495,16.011049723756905,57.26897069872277,5.25450788880541,2.3814126106622258
-14,0.23841181055430744,42.37311448351749,16.054966457476738,57.3884737059282,5.32758699738664,2.3939885964580965
-13,0.2145539066690506,41.84248167352047,15.983869244738809,57.94296441981047,5.408546397282317,2.470774790721686
-12,0.2310475609224465,41.64959239722743,16.01109482939083,58.11936004185012,5.37512533240333,2.346420988231901
-11,0.21372088053002777,41.25667877751656,16.05677579776212,58.52960034195341,5.522547552895918,2.183621083723053
-10,0.2007864134526897,41.035723249393456,16.009174311926607,58.763490337153854,5.417050112942358,2.102546455609078
-9,0.18902814875693447,40.54653790836244,16.058072362420187,59.26443394288062,5.21882062872406,2.0255468302382784
-8,0.16840417000801924,40.44506816359262,16.14503816793893,59.38652766639936,5.0842020850040095,2.021670190274838
-7,0.1714664276528584,40.51673746151748,16.113782821967874,59.31179611082966,4.843926581193251,2.447869446962825
-6,0.18250950570342206,40.38783269961977,16.129730747505178,59.42965779467681,4.722433460076045,2.0733249051833047
-5,0.20006668889629878,40.46534029861806,16.15088811572972,59.33459301248565,4.0420881034418885,1.811369829081011
-4,0.19736120755820327,39.85234457804905,16.28760088041086,59.950294214392756,4.093417638244216,1.4719746966333158
-3,0.1942236449304032,39.43819012336798,16.129958960328317,60.36758623170162,3.7118296586699273,1.4656076727109335
